#t_s,Fd_N
0.435000,0.132344
0.436000,0.138971
0.437000,0.144461
0.438000,0.148793
0.439000,0.151973
0.440000,0.154029
0.441000,0.155002
0.442000,0.154938
0.443000,0.153879
0.444000,0.151854
0.445000,0.148874
0.446000,0.144924
0.447000,0.139966
0.448000,0.133933
0.449000,0.126737
0.450000,0.118272
0.451000,0.108427
0.452000,0.097096
0.453000,0.084189
0.454000,0.069647
0.455000,0.053455
0.456000,0.035656
0.457000,0.016357
0.458000,-0.004260
0.459000,-0.025939
0.460000,-0.048346
0.461000,-0.071075
0.462000,-0.093661
0.463000,-0.115587
0.464000,-0.136309
0.465000,-0.155268
0.466000,-0.171916
0.467000,-0.185738
0.468000,-0.196278
0.469000,-0.203153
0.470000,-0.206079
0.471000,-0.204885
0.472000,-0.199523
0.473000,-0.190077
0.474000,-0.176764
0.475000,-0.159931
0.476000,-0.140046
0.477000,-0.117685
0.478000,-0.093511
0.479000,-0.068257
0.480000,-0.042697
0.481000,-0.017619
0.482000,0.006197
0.483000,0.028014
0.484000,0.047158
0.485000,0.063047
0.486000,0.075208
0.487000,0.083298
0.488000,0.087115
0.489000,0.086608
0.490000,0.081877
0.491000,0.073177
0.492000,0.060904
0.493000,0.045591
0.494000,0.027882
0.495000,0.008520
0.496000,-0.011681
0.497000,-0.031866
0.498000,-0.051164
0.499000,-0.068720
0.500000,-0.083730
0.501000,-0.095466
0.502000,-0.103307
0.503000,-0.106768
0.504000,-0.105520
0.505000,-0.099406
0.506000,-0.088458
0.507000,-0.072898
0.508000,-0.053143
0.509000,-0.029789
0.510000,-0.003604
0.511000,0.024502
0.512000,0.053502
0.513000,0.082289
0.514000,0.109716
0.515000,0.134643
0.516000,0.155977
0.517000,0.172723
0.518000,0.184024
0.519000,0.189205
0.520000,0.187804
0.521000,0.179600
0.522000,0.164630
0.523000,0.143196
0.524000,0.115862
0.525000,0.083437
0.526000,0.046948
0.527000,0.007602
0.528000,-0.033254
0.529000,-0.074196
0.530000,-0.113775
0.531000,-0.150577
0.532000,-0.183288
0.533000,-0.210747
0.534000,-0.231997
0.535000,-0.246330
0.536000,-0.253314
0.537000,-0.252814
0.538000,-0.244994
0.539000,-0.230312
0.540000,-0.209494
0.541000,-0.183495
0.542000,-0.153460
0.543000,-0.120659
0.544000,-0.086432
0.545000,-0.052121
0.546000,-0.019010
0.547000,0.011742
0.548000,0.039146
0.549000,0.062430
0.550000,0.081071
0.551000,0.094807
0.552000,0.103648
0.553000,0.107854
0.554000,0.107918
0.555000,0.104523
0.556000,0.098497
0.557000,0.090755
0.558000,0.082243
0.559000,0.073877
0.560000,0.066487
0.561000,0.060769
0.562000,0.057242
0.563000,0.056218
0.564000,0.057790
0.565000,0.061827
0.566000,0.067990
0.567000,0.075752
0.568000,0.084442
0.569000,0.093288
0.570000,0.101471
0.571000,0.108182
0.572000,0.112677
0.573000,0.114331
0.574000,0.112679
0.575000,0.107455
0.576000,0.098610
0.577000,0.086325
0.578000,0.071003
0.579000,0.053248
0.580000,0.033834
0.581000,0.013658
0.582000,-0.006310
0.583000,-0.025089
0.584000,-0.041743
0.585000,-0.055444
0.586000,-0.065523
0.587000,-0.071514
0.588000,-0.073188
0.589000,-0.070574
0.590000,-0.063957
0.591000,-0.053875
0.592000,-0.041085
0.593000,-0.026527
0.594000,-0.011273
0.595000,0.003540
0.596000,0.016769
0.597000,0.027334
0.598000,0.034287
0.599000,0.036867
0.600000,0.034552
0.601000,0.027092
0.602000,0.014535
0.603000,-0.002766
0.604000,-0.024173
0.605000,-0.048778
0.606000,-0.075456
0.607000,-0.102915
0.608000,-0.129761
0.609000,-0.154573
0.610000,-0.175974
0.611000,-0.192707
0.612000,-0.203698
0.613000,-0.208120
0.614000,-0.205437
0.615000,-0.195433
0.616000,-0.178234
0.617000,-0.154301
0.618000,-0.124414
0.619000,-0.089638
0.620000,-0.051271
0.621000,-0.010785
0.622000,0.030241
0.623000,0.070198
0.624000,0.107522
0.625000,0.140765
0.626000,0.168666
0.627000,0.190202
0.628000,0.204638
0.629000,0.211556
0.630000,0.210869
0.631000,0.202823
0.632000,0.187980
0.633000,0.167184
0.634000,0.141523
0.635000,0.112266
0.636000,0.080810
0.637000,0.048609
0.638000,0.017103
0.639000,-0.012339
0.640000,-0.038489
0.641000,-0.060306
0.642000,-0.076983
0.643000,-0.087977
0.644000,-0.093028
0.645000,-0.092160
0.646000,-0.085680
0.647000,-0.074149
0.648000,-0.058359
0.649000,-0.039286
0.650000,-0.018041
0.651000,0.004178
0.652000,0.026144
0.653000,0.046657
0.654000,0.064597
0.655000,0.078970
0.656000,0.088950
0.657000,0.093913
0.658000,0.093460
0.659000,0.087433
0.660000,0.075914
0.661000,0.059223
0.662000,0.037899
0.663000,0.012677
0.664000,-0.015546
0.665000,-0.045748
0.666000,-0.076826
0.667000,-0.107639
0.668000,-0.137054
0.669000,-0.163996
0.670000,-0.187480
0.671000,-0.206660
0.672000,-0.220854
0.673000,-0.229571
0.674000,-0.232530
0.675000,-0.229669
0.676000,-0.221145
0.677000,-0.207328
0.678000,-0.188784
0.679000,-0.166253
0.680000,-0.140617
0.681000,-0.112868
0.682000,-0.084063
0.683000,-0.055288
0.684000,-0.027610
0.685000,-0.002034
0.686000,0.020532
0.687000,0.039321
0.688000,0.053730
0.689000,0.063352
0.690000,0.067987
0.691000,0.067649
0.692000,0.062570
0.693000,0.053185
0.694000,0.040115
0.695000,0.024139
0.696000,0.006158
0.697000,-0.012839
0.698000,-0.031824
0.699000,-0.049777
0.700000,-0.065724
0.701000,-0.078790
0.702000,-0.088235
0.703000,-0.093485
0.704000,-0.094166
0.705000,-0.090117
0.706000,-0.081398
0.707000,-0.068292
0.708000,-0.051290
0.709000,-0.031072
0.710000,-0.008474
0.711000,0.015549
0.712000,0.039965
0.713000,0.063714
0.714000,0.085757
0.715000,0.105124
0.716000,0.120958
0.717000,0.132556
0.718000,0.139400
0.719000,0.141184
0.720000,0.137825
0.721000,0.129469
0.722000,0.116479
0.723000,0.099423
0.724000,0.079043
0.725000,0.056218
0.726000,0.031924
0.727000,0.007188
0.728000,-0.016963
0.729000,-0.039549
0.730000,-0.059683
0.731000,-0.076612
0.732000,-0.089749
0.733000,-0.098699
0.734000,-0.103272
0.735000,-0.103491
0.736000,-0.099582
0.737000,-0.091956
0.738000,-0.081188
0.739000,-0.067976
0.740000,-0.053106
0.741000,-0.037405
0.742000,-0.021695
0.743000,-0.006747
0.744000,0.006758
0.745000,0.018266
0.746000,0.027381
0.747000,0.033882
0.748000,0.037735
0.749000,0.039088
0.750000,0.038265
0.751000,0.035738
0.752000,0.032101
0.753000,0.028031
0.754000,0.024246
0.755000,0.021457
0.756000,0.020326
