#t_s,e_des_um
0.553000,-1.709255
0.554000,-1.546791
0.555000,-1.384328
0.556000,-1.221864
0.557000,-1.059400
0.558000,-0.896937
0.559000,-0.734473
0.560000,-0.675683
0.561000,-0.669079
0.562000,-0.662474
0.563000,-0.655870
0.564000,-0.649266
0.565000,-0.642662
0.566000,-0.636058
0.567000,-0.623741
0.568000,-0.563533
0.569000,-0.503325
0.570000,-0.443117
0.571000,-0.382909
0.572000,-0.322701
0.573000,-0.262493
0.574000,-0.202285
0.575000,-0.092469
0.576000,0.058262
0.577000,0.208993
0.578000,0.359723
0.579000,0.510454
0.580000,0.661185
0.581000,0.811916
0.582000,0.962646
0.583000,0.897418
0.584000,0.829883
0.585000,0.762348
0.586000,0.694813
0.587000,0.627278
0.588000,0.559743
0.589000,0.492208
0.590000,0.439056
0.591000,0.404904
0.592000,0.370752
0.593000,0.336600
0.594000,0.302448
0.595000,0.268295
0.596000,0.234143
0.597000,0.199991
0.598000,0.177548
0.599000,0.156820
0.600000,0.136091
0.601000,0.115362
0.602000,0.094634
0.603000,0.073905
0.604000,0.053176
0.605000,0.058832
0.606000,0.122211
0.607000,0.185589
0.608000,0.248968
0.609000,0.312347
0.610000,0.375726
0.611000,0.439104
0.612000,0.502483
0.613000,0.260839
0.614000,-0.079724
0.615000,-0.420287
0.616000,-0.760849
0.617000,-1.101412
0.618000,-1.441975
0.619000,-1.782538
0.620000,-2.034114
0.621000,-1.921904
0.622000,-1.809694
0.623000,-1.697484
0.624000,-1.585274
0.625000,-1.473064
0.626000,-1.360854
0.627000,-1.248644
0.628000,-1.162393
0.629000,-1.090875
0.630000,-1.019356
0.631000,-0.947837
0.632000,-0.876318
0.633000,-0.804799
0.634000,-0.733281
0.635000,-0.658012
0.636000,-0.539256
0.637000,-0.420501
0.638000,-0.301745
0.639000,-0.182989
0.640000,-0.064233
0.641000,0.054523
0.642000,0.173278
0.643000,0.185173
0.644000,0.098743
0.645000,0.012313
0.646000,-0.074117
0.647000,-0.160548
0.648000,-0.246978
0.649000,-0.333408
0.650000,-0.419838
0.651000,-0.273411
0.652000,-0.117843
0.653000,0.037726
0.654000,0.193295
0.655000,0.348864
