#t_s,e_raw_um
0.728000,-0.643551
0.729000,-0.698910
0.730000,-0.754270
0.731000,-0.809629
0.732000,-0.864988
0.733000,-0.920348
0.734000,-0.906666
0.735000,-0.877607
0.736000,-0.848549
0.737000,-0.819491
0.738000,-0.790432
0.739000,-0.761374
0.740000,-0.732316
0.741000,-0.713132
0.742000,-0.722159
0.743000,-0.731187
0.744000,-0.740214
0.745000,-0.749241
0.746000,-0.758268
0.747000,-0.767296
0.748000,-0.776323
0.749000,-0.785350
0.750000,-0.794378
0.751000,-0.803405
0.752000,-0.812432
0.753000,-0.821459
0.754000,-0.830487
0.755000,-0.839514
0.756000,-0.838345
0.757000,-0.775626
0.758000,-0.712906
0.759000,-0.650187
0.760000,-0.587468
0.761000,-0.524749
0.762000,-0.462030
0.763000,-0.399310
0.764000,-0.348041
0.765000,-0.304942
0.766000,-0.261843
0.767000,-0.218745
0.768000,-0.175646
0.769000,-0.132548
0.770000,-0.089449
0.771000,-0.043576
0.772000,0.110669
0.773000,0.264914
0.774000,0.419159
0.775000,0.573404
0.776000,0.727649
0.777000,0.881895
0.778000,1.036140
0.779000,1.131965
0.780000,1.160948
0.781000,1.189932
0.782000,1.218915
0.783000,1.247899
0.784000,1.276882
0.785000,1.305865
0.786000,1.334849
0.787000,1.414275
0.788000,1.498823
0.789000,1.583372
0.790000,1.667921
0.791000,1.752470
0.792000,1.837019
0.793000,1.921568
0.794000,1.963111
0.795000,1.924516
0.796000,1.885920
0.797000,1.847325
0.798000,1.808729
0.799000,1.770134
0.800000,1.731538
0.801000,1.692943
0.802000,1.805720
0.803000,1.958579
0.804000,2.111438
0.805000,2.264297
0.806000,2.417156
0.807000,2.570015
0.808000,2.722873
0.809000,2.835870
0.810000,2.816959
0.811000,2.798048
0.812000,2.779137
0.813000,2.760226
0.814000,2.741315
0.815000,2.722404
0.816000,2.703493
0.817000,2.505132
0.818000,2.219772
0.819000,1.934412
0.820000,1.649052
0.821000,1.363691
0.822000,1.078331
0.823000,0.792971
0.824000,0.519817
0.825000,0.340683
0.826000,0.161549
0.827000,-0.017585
0.828000,-0.196719
0.829000,-0.375853
0.830000,-0.554987
0.831000,-0.734121
0.832000,-0.742189
0.833000,-0.613834
0.834000,-0.485480
0.835000,-0.357125
0.836000,-0.228770
0.837000,-0.100415
0.838000,0.027940
0.839000,0.156294
0.840000,-0.004054
0.841000,-0.165052
0.842000,-0.326051
0.843000,-0.487050
0.844000,-0.648048
0.845000,-0.809047
0.846000,-0.970046
0.847000,-1.031938
0.848000,-0.967270
0.849000,-0.902603
0.850000,-0.837936
0.851000,-0.773268
0.852000,-0.708601
0.853000,-0.643934
0.854000,-0.579266
0.855000,-0.412968
0.856000,-0.232888
0.857000,-0.052808
0.858000,0.127272
0.859000,0.307352
0.860000,0.487431
0.861000,0.667511
0.862000,0.801513
0.863000,0.838501
0.864000,0.875489
0.865000,0.912477
0.866000,0.949465
0.867000,0.986453
0.868000,1.023441
0.869000,1.060428
0.870000,1.062000
0.871000,1.052598
0.872000,1.043196
0.873000,1.033793
0.874000,1.024391
0.875000,1.014989
0.876000,1.005586
0.877000,0.965394
0.878000,0.805694
0.879000,0.645993
0.880000,0.486293
0.881000,0.326592
0.882000,0.166892
0.883000,0.007191
0.884000,-0.152509
0.885000,-0.176687
0.886000,-0.126690
0.887000,-0.076693
0.888000,-0.026697
0.889000,0.023300
0.890000,0.073297
0.891000,0.123294
0.892000,0.170417
0.893000,0.187656
0.894000,0.204894
0.895000,0.222132
0.896000,0.239371
0.897000,0.256609
0.898000,0.273847
