# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=ASFC_default
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=ASFC
# mu=896436268.5
# n=3
# n_steps_done=62853
# note=
# r_actual=1
# r_design=1
# status=OK
# v_ref_m_s=0.0006679905
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.145,0,0,-0.174,-0.173996,4.28091,1.74524,-0.043576,1.78882,0.000148992,-0.196726,-0.0214045,-0.0595969,-0.00296491,-0.0839664,0.0582123,-2.70871e-07,5.78391e-08,5.43739e-08,0.00839664,0
0.15,0,0,-0.174,-0.173995,4.91255,1.86669,-0.043576,1.91027,8.03151e-05,-0.336453,-0.0245627,-0.0321261,-0.000464421,-0.0571532,0.0396256,-2.1152e-07,4.52338e-08,4.24812e-08,0.00571532,0
0.155,0,0,-0.174,-0.173995,5.11256,1.49026,-0.043576,1.53384,-1.9388e-05,-0.441956,-0.0255628,0.00775519,6.53307e-06,-0.0178011,0.0123426,-6.88588e-08,1.47464e-08,1.38359e-08,0.00178011,0
0.16,0,0,-0.174,-0.173995,4.87667,1.11085,-0.043576,1.15442,-7.20586e-05,-0.392568,-0.0243834,0.0288235,0.000335411,0.00477551,-0.00331132,1.77661e-08,-3.80976e-09,-3.57136e-09,-0.000477551,-5.30188e-19
0.165,0,0,-0.174,-0.173995,4.56206,1.17023,-0.043576,1.2138,-3.11168e-05,-0.207413,-0.0228103,0.0124467,2.70089e-05,-0.0103365,0.00716766,-3.62568e-08,7.7847e-09,7.29143e-09,0.00103365,0
0.17,0,0,-0.174,-0.173995,4.59506,0.973911,-0.043576,1.01749,6.59112e-05,-0.035834,-0.0229753,-0.0263645,-0.000256683,-0.0495965,0.0343933,-1.7535e-07,3.76941e-08,3.52777e-08,0.00495965,0
0.175,0,0,-0.174,-0.173995,5.08092,0.964427,-0.043576,1.008,0.000128542,-0.016991,-0.0254046,-0.051417,-0.00190397,-0.0787255,0.0545955,-3.05836e-07,6.58173e-08,6.15522e-08,0.00787255,8.74029e-18
0.18,0,0,-0.174,-0.173994,5.70187,1.87489,-0.043576,1.91847,9.88218e-05,-0.14859,-0.0285093,-0.0395287,-0.000865122,-0.0689032,0.0477857,-2.98657e-07,6.43401e-08,6.01285e-08,0.00689032,-7.64979e-18
0.185,0,0,-0.174,-0.173994,6.01767,2.31089,-0.043576,2.35446,4.041e-06,-0.294868,-0.0300884,-0.0016164,-5.91541e-08,-0.0317048,0.0219888,-1.44911e-07,3.12494e-08,2.91845e-08,0.00317048,0
0.19,0,0,-0.174,-0.173994,5.85757,2.33849,-0.043576,2.38206,-7.47932e-05,-0.323187,-0.0292879,0.0299173,0.000375064,0.00100445,-0.000696661,4.48682e-09,-9.68469e-10,-9.03912e-10,-0.000100445,0
0.195,0,0,-0.174,-0.173995,5.44103,1.5131,-0.043576,1.55668,-8.05073e-05,-0.229067,-0.0272052,0.0322029,0.000467763,0.00546554,-0.00379087,2.28178e-08,-4.92951e-09,-4.59821e-09,-0.000546554,0
0.2,0,0,-0.174,-0.173995,5.12595,0.996402,-0.043576,1.03998,-3.19656e-05,-0.123669,-0.0256297,0.0127863,2.92799e-05,-0.0128142,0.00888814,-5.06058e-08,1.09419e-08,1.02009e-08,0.00128142,-1.42266e-18
0.205,0,0,-0.174,-0.173995,5.05985,0.741609,-0.043576,0.785185,7.20152e-06,-0.10354,-0.0252993,-0.00288061,-3.34805e-07,-0.0281802,0.0195468,-1.09879e-07,2.37766e-08,2.21547e-08,0.00281802,3.12863e-18
