# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=ASFC_strong
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=ASFC
# mu=61906.29881
# n=1.5
# n_steps_done=62853
# note=
# r_actual=4
# r_design=4
# status=OK
# v_ref_m_s=0.0006679905
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
1.03,0,0,-0.174,-0.174001,-0.826602,-1.20652,-0.043576,-1.16295,-7.08772e-05,-0.136797,0.00413301,0.0283509,0.0369398,0.0694237,-0.0481767,-4.03533e-08,8.84637e-09,8.17197e-09,-0.00694237,0
1.035,0,0,-0.174,-0.174001,-1.14455,-1.65675,-0.043576,-1.61318,-4.78272e-05,-0.061515,0.00572275,0.0191309,0.0204761,0.0453297,-0.0314566,-3.66363e-08,8.03152e-09,7.41924e-09,-0.00453297,-5.03261e-18
1.04,0,0,-0.174,-0.174001,-1.304,-2.05138,-0.043576,-2.00781,-5.49784e-06,0.032038,0.00652,0.00219914,0.000798037,0.00951718,-0.00660446,-8.79585e-09,1.92825e-09,1.78125e-09,-0.000951718,1.05662e-18
1.045,0,0,-0.174,-0.174001,-1.2393,-2.18466,-0.043576,-2.14108,3.70934e-05,0.085668,0.00619649,-0.0148373,-0.0139855,-0.0226264,0.0157016,1.9947e-08,-4.37284e-09,-4.03948e-09,0.00226264,2.51203e-18
1.05,0,0,-0.174,-0.174001,-1.01387,-1.90781,-0.043576,-1.86423,5.0504e-05,0.077004,0.00506935,-0.0202016,-0.022219,-0.0373512,0.02592,2.70127e-08,-5.9218e-09,-5.47036e-09,0.00373512,4.14682e-18
1.055,0,0,-0.174,-0.174001,-0.777381,-1.66138,-0.043576,-1.61781,3.99701e-05,0.044857,0.0038869,-0.0159881,-0.0156437,-0.0277448,0.0192536,1.53967e-08,-3.37531e-09,-3.11799e-09,0.00277448,0
1.06,0,0,-0.174,-0.174001,-0.601781,-1.38434,-0.043576,-1.34076,3.07081e-05,0.047714,0.00300891,-0.0122832,-0.0105345,-0.0198089,0.0137464,8.50639e-09,-1.86479e-09,-1.72263e-09,0.00198089,-2.19923e-18
1.065,0,0,-0.174,-0.174,-0.435691,-1.04481,-0.043576,-1.00124,4.10254e-05,0.093972,0.00217845,-0.0164102,-0.0162673,-0.030499,0.0211648,9.50992e-09,-2.08479e-09,-1.92586e-09,0.0030499,3.38607e-18
1.07,0,0,-0.174,-0.174,-0.19145,-0.705286,-0.043576,-0.66171,5.88567e-05,0.121054,0.000957249,-0.0235427,-0.027953,-0.0505385,0.0350713,7.06018e-09,-1.54775e-09,-1.42976e-09,0.00505385,0
1.075,0,0,-0.174,-0.174,0.102803,-0.304672,-0.043576,-0.261096,5.05885e-05,0.05448,-0.000514014,-0.0202354,-0.0222747,-0.0430241,0.0298567,-2.9732e-09,6.51791e-10,6.02103e-10,0.00430241,4.77664e-18
