# trace n_full=62853 stride=5 n_written=12571
# B0_Ns_per_m=400
# K_N_per_m=5000
# bias_um=0
# case_id=ASFC_medium
# fd_scale=1
# fd_sha256=58858d990d4f36176992fea6e5590f4a8ab64bca1face89aaacc6ea25d261187
# mode=ASFC
# mu=1197621.822
# n=2
# n_steps_done=62853
# note=
# r_actual=2
# r_design=2
# status=OK
# v_ref_m_s=0.0006679905
# units t=s phase=code along_mm=mm y_d=m y_sim=m e_um=um e_raw_um=um b_um=um e_vib_um=um v_m_s=m/s Fd_N=N F_spring_N=N F_linear_damping_N=N F_shear_N=N F_SFC_N=N tau_1=N*m tau_2=N*m tau_3=N*m tau_4=N*m tau_5=N*m tau_6=N*m
# phase_names=start,fwd_steady,turn,ret_steady,stop
t,phase,along_mm,y_d,y_sim,e_um,e_raw_um,b_um,e_vib_um,v_m_s,Fd_N,F_spring_N,F_linear_damping_N,F_shear_N,F_SFC_N,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6
0.3,0,0,-0.174,-0.173995,4.85165,2.85853,-0.043576,2.90211,1.93148e-05,-0.019907,-0.0242583,-0.00772592,-0.000446787,-0.032431,0.0225025,-1.18747e-07,2.59205e-08,2.40128e-08,0.0032431,3.60056e-18
0.305,0,0,-0.174,-0.173995,4.85614,2.97341,-0.043576,3.01699,-2.56565e-05,-0.073728,-0.0242807,0.0102626,0.000788343,-0.0132297,0.00917965,-4.84431e-08,1.05769e-08,9.79686e-09,0.00132297,0
0.31,0,0,-0.174,-0.173995,4.66613,2.95972,-0.043576,3.0033,-5.01841e-05,-0.07118,-0.0233307,0.0200736,0.00301614,-0.000240892,0.000167148,-8.48622e-10,1.85327e-10,1.71634e-10,2.40892e-05,0
0.315,0,0,-0.174,-0.173996,4.41882,2.89494,-0.043576,2.93852,-4.23039e-05,-0.021628,-0.0220941,0.0169216,0.00214329,-0.00302924,0.00210191,-1.01209e-08,2.21074e-09,2.0471e-09,0.000302924,0
0.32,0,0,-0.174,-0.173996,4.26381,2.84785,-0.043576,2.89143,-1.09569e-05,0.045186,-0.0213191,0.00438276,0.000143779,-0.0167925,0.011652,-5.41227e-08,1.18246e-08,1.09478e-08,0.00167925,-1.86434e-18
0.325,0,0,-0.174,-0.173996,4.2838,2.8179,-0.043576,2.86148,2.48105e-05,0.088792,-0.021419,-0.00992418,-0.000737206,-0.0320804,0.0222601,-1.03575e-07,2.26331e-08,2.09522e-08,0.00320804,-3.56164e-18
0.33,0,0,-0.174,-0.173996,4.44823,2.94204,-0.043576,2.98562,3.75883e-05,0.065044,-0.0222412,-0.0150353,-0.00169209,-0.0389686,0.0270398,-1.30074e-07,2.8429e-08,2.63145e-08,0.00389686,4.32638e-18
0.335,0,0,-0.174,-0.173995,4.59059,3.23488,-0.043576,3.27846,4.37705e-06,-0.04612,-0.022953,-0.00175082,-2.29447e-05,-0.0247267,0.0171577,-8.49264e-08,1.85646e-08,1.71819e-08,0.00247267,0
0.34,0,0,-0.174,-0.173996,4.46677,3.70658,-0.043576,3.75016,-7.5129e-05,-0.205354,-0.0223338,0.0300516,0.00675982,0.0144776,-0.0100459,4.84394e-08,-1.05904e-08,-9.80056e-09,-0.00144776,0
0.345,0,0,-0.174,-0.173996,3.91318,2.77311,-0.043576,2.81669,-0.000158871,-0.32001,-0.0195659,0.0635485,0.030228,0.0742106,-0.0514947,2.19164e-07,-4.79236e-08,-4.4345e-08,-0.00742106,-8.23903e-18
0.35,0,0,-0.174,-0.173997,3.02325,1.57486,-0.043576,1.61843,-0.000193251,-0.310808,-0.0151163,0.0773002,0.0447261,0.10691,-0.0741852,2.47962e-07,-5.42284e-08,-5.01742e-08,-0.010691,0
